type,variable,value,Underweight,Healthy weight,Overweight,Obese,Comment
PriorInitialProb,age_range,0_4,0.07,0.79,0.15,0.05,NZ stats for 2006/07
PriorTransProb,prob,Underweight,0.6,0.4,0,0,initially
PriorTransProb,prob,Healthy weight,0.007,0.793,0.2,0,healthy generally stays similar
PriorTransProb,prob,Overweight,0,0.1,0.65,0.25,Overweight gas a gooc chance of becoming obese
PriorTransProb,prob,Obese,0,0,0.2,0.8,obese generally stays the same
StaticChar,gender,Female,0.66,0.8,1.34,1,
StaticChar,gender,Male,1.34,1.2,0.66,1,
StaticChar,ethnicity,Maori,0.5,0.8,1.1,3,
StaticChar,ethnicity,Pacific Peoples,0.1,0.3,0.9,3.5,
StaticChar,ethnicity,Asian,1.6,1.5,1.1,0.9,
StaticChar,deprivation,>6,1,0.9,0.87,2,
StaticChar,deprivation,<4,1.23,1.1,1.13,0.7,
DynamicChar,body_size,Underweight,1.05,1,1,1,Slightly higher chance of remaining underweight as the patient gets older
DynamicChar,body_size,Overweight,1,1,1.1,1,Slightly higher chance of remaining overweight as the patient gets older
DynamicChar,body_size,Obese,1,1,1,1.2,Slightly higher chance of remaing obese as the patient gets older
DynamicChar,age_range,15_19,1,0.6,2.5,1.5,"at 15, drastically increase chances of being overweight"
DynamicChar,age_range,25_29,1,0.7,1.1,1.1,healthy weight drop after 25
DynamicChar,age_range,40_44,0.7,0.7,1.5,2,underweight drops drastically after 44
DynamicChar,age_range,50_54,1,0.6,5,5,
DynamicChar,age_range,60_64,1.5,1,3,2,but then rises again after 60
DynamicChar,physical_activity,Active,1,1.5,0.8,0.7,Increased physical activity improves body size
DynamicChar,smoking,Regular smoker,1.2,0.9,1.2,1.4,Smoking increases both underweight and overweight/obesity
